Airdrie,397,911,Alberta,-114.012817,51.276754,0.0402201177
Calgary,396,913,Alberta,-114.052206,51.035212,0.0026046458
Edmonton,406,888,Alberta,-113.494839,53.537162,0.0494061057
Grande Prairie,376,862,Alberta,-118.805151,55.170012,0.031858468
Lethbridge,399,929,Alberta,-112.843978,49.687894,0.3330949753
Parkland County,400,887,Alberta,-114.405095,53.483239,0.0414935622
Red Deer,401,901,Alberta,-113.79703,52.281594,0.0246818451
Rocky View County,396,911,Alberta,-114.065026,51.226484,0.0532094344
St. Albert,405,887,Alberta,-113.638706,53.640444,0.066602822
Strathcona County,409,889,Alberta,-113.098756,53.567279,0.0303928106
Wood Buffalo,429,850,Alberta,-111.308568,57.542179,0.0661776614
Abbotsford,330,913,British Columbia,-122.285385,49.069141,0.0066398604
Burnaby,326,909,British Columbia,-122.965231,49.245627,0.0251283348
Coquitlam,328,909,British Columbia,-122.771434,49.297332,0.0671556893
Delta,325,910,British Columbia,-123.015943,49.1001,0.0467710108
Kamloops,350,903,British Columbia,-120.32773,50.694238,0.0427637242
Kelowna,354,913,British Columbia,-119.440336,49.884948,0.0546958487
Langley,327,912,British Columbia,-122.659729,49.098691,0.0657476874
Richmond,325,909,British Columbia,-123.108976,49.162961,0.0756913164
Saanich,320,915,British Columbia,-123.389924,48.496895,0.0304730274
Surrey,327,911,British Columbia,-122.784317,49.116802,0.0433950056
Vancouver,325,909,British Columbia,-123.107835,49.248621,0.0316524809
Brandon,500,938,Manitoba,-99.920806,49.844888,0.02712305
Hanover,524,941,Manitoba,-96.800307,49.474171,0.0478419252
Portage la Prairie,513,937,Manitoba,-98.28844,49.970272,0.0617387632
Springfield,525,937,Manitoba,-96.700266,49.907754,0.0389703183
St. Andrews,522,933,Manitoba,-96.997252,50.274503,0.0354666304
St. Clements,524,933,Manitoba,-96.70247,50.260812,0.0657512926
Steinbach,525,941,Manitoba,-96.683172,49.527614,0.020501895
TachŽ,525,939,Manitoba,-96.724682,49.730325,0.0535549582
Thompson,514,876,Manitoba,-97.835119,55.758594,0.0555787704
Winkler,516,945,Manitoba,-97.938744,49.181463,0.0612884988
Winnipeg,521,937,Manitoba,-97.157124,49.863678,0.0577921554
Bathurst,760,881,New Brunswick,-65.632299,47.623435,0.0421544302
Edmundston,743,895,New Brunswick,-68.32206,47.377857,0.0584447764
Fredericton,760,896,New Brunswick,-66.643759,45.955614,0.4571824329
Miramichi,764,885,New Brunswick,-65.506924,47.019737,0.0695221787
Conception Bay South,839,816,Newfoundland and Labrador,-52.995103,47.490403,0.0873188656
Corner Brook,800,832,Newfoundland and Labrador,-57.925986,48.928706,0.034354117
Gander,819,814,Newfoundland and Labrador,-54.589501,48.957643,0.0515330206
Grand Falls-Windsor,813,820,Newfoundland and Labrador,-55.6633,48.957787,0.0444940599
Mount Pearl,839,814,Newfoundland and Labrador,-52.81216,47.519391,0.0152046769
Paradise,839,815,Newfoundland and Labrador,-52.88418,47.53421,0.0675707548
St. John's,839,814,Newfoundland and Labrador,-52.797082,47.481774,0.0545351633
Aklavik,361,697,Northwest Territories,-135.06511,68.228885,0.0419485557
Behchok˜,417,788,Northwest Territories,-115.993318,62.818435,0.0565774438
Colville Lake,388,728,Northwest Territories,-126.007962,67.001487,0.0707599354
Detah,424,795,Northwest Territories,-114.306539,62.412192,0.0262098448
DŽline,390,752,Northwest Territories,-123.431723,65.211455,0.0626134391
Fort Good Hope,374,730,Northwest Territories,-128.578065,66.266619,0.0560835871
Fort Liard,369,801,Northwest Territories,-123.382601,60.2563,0.0361431294
Fort McPherson,357,705,Northwest Territories,-134.826145,67.43327,0.0900776949
Fort Providence,404,800,Northwest Territories,-117.617562,61.421334,0.0347726631
Fort Resolution,424,810,Northwest Territories,-113.69149,61.048996,0.0276901798
Fort Simpson,386,790,Northwest Territories,-121.319934,61.808194,0.0430014545
Fort Smith,430,823,Northwest Territories,-112.082082,60.025996,0.0460366925
Gamt“,414,773,Northwest Territories,-117.310235,64.11385,0.0500713104
Hay River,411,810,Northwest Territories,-115.900391,60.753132,0.0084146387
Hay River Dene 1,412,810,Northwest Territories,-115.688574,60.79018,0.0507371765
Inuvik,366,700,Northwest Territories,-133.609614,68.340721,0.0663157363
Lutselk'e,443,799,Northwest Territories,-110.680573,62.390779,0.0366353082
Nahanni Butte,372,794,Northwest Territories,-123.383578,60.999615,0.0702614027
Norman Wells,376,744,Northwest Territories,-126.764157,65.292146,0.0414282561
Paulatuk,406,709,Northwest Territories,-123.985073,69.32534,0.0676661114
Region 5: Unorganized,453,813,Northwest Territories,-108.427629,61.265344,0.0394216603
Sachs Harbour,414,680,Northwest Territories,-125.23931,72.01749,0.1090784108
